CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Taylor Hartrick,Policy Analyst,2020-11-17,2023-11-08,9,"Taylor Hartrick, Tyler Hartrick"
Taylor Hladik,"Counsellor, Commercial",2015-07-07,2015-07-07,1,Taylor Hladik
Taylor Hodgins,Staffer,2018-03-20,2018-05-29,2,Taylor Hodgins
Taylor Johnson,Economist | Analyst,2015-02-19,2015-02-19,1,Taylor Johnson
Taylor Komery,Procurement Officer,2023-04-06,2023-04-06,1,Taylor Komery
Taylor Pettit,Issues Manager,2014-08-18,2014-08-18,1,Taylor Pettit
Taylor Roy,Member of Parliament,2023-02-02,2023-02-02,1,Taylor Roy
Taylor Suzanne,Policy Advisor,2019-06-24,2019-06-24,1,Taylor Suzanne
Tchilabalo Abaki,Acting High Commissioner for Togo | First Counsellor,2024-11-05,2024-11-05,1,Tchilabalo Abaki
Tea Lalatovic,Analyst,2023-11-17,2023-11-17,1,Tea Lalatovic
Teall Hall,Policy Analyst,2022-06-15,2024-03-27,5,Teall Hall
Teanna Lackner,Program Coordinator,2024-07-15,2024-07-15,1,Teanna Lackner
Ted Cook,Director,2010-03-11,2020-11-18,79,Ted Cook
Ted Menzies,"Minister of State, Finance",2008-11-25,2013-11-05,198,"Hon. Ted Menzies, Mr. Ted Menzies, MP, TED MENZIES, Ted E Menzies, Ted E. Menzies, Ted Menzie, Ted Menzies, Ted Menzies, M.P., Ted Menzues, The Hon. Ted Menzies, P.C., M.P., The Honourable Ted Menzies, P.C., M.P., ted menzies"
Ted Falk,Member of Parliament,2014-02-04,2025-06-11,540,"Mr. Ted Falk, M.P., TED FALK, Ted  Falk, Ted Falk, ted falk"
Ted Francis,Chief of Staff,2016-09-08,2017-04-10,3,Ted Francis
Ted Gallivan,Assistant Commissioner,2013-08-08,2025-02-12,203,"Ted  Gallivan, Ted  Gallivan , Ted Gallivan, Ted Gallivan "
Ted Hewitt,President,2012-09-21,2025-05-28,307,"Ted  Hewitt, Ted Hewit, Ted Hewitt, Ted Hewlitt, ted hewitt"
Ted Hsu,Member of Parliament,2011-06-14,2015-06-09,115,"Ted Hsu, Ted Tsu, Tes Hsu"
Ted Laking,Policy Advisor,2010-05-06,2015-07-24,43,"Ted Lakin, Ted Laking"
Ted Opitz,Member of Parliament,2009-06-03,2015-04-29,73,"Ted Opitz, Ted Optiz, Tep Opitz"
Ted Pidgeon,Deputy Director,2009-07-06,2009-07-17,4,Ted Pidgeon
Ted Price,Assistant Superintendent,2008-09-08,2013-04-29,25,Ted Price
Ted Reinhardt,Deputy Chief Information Officer,2015-06-03,2015-06-03,1,Ted Reinhardt
Ted Staffen,"Director of Regional Affairs, Yukon",2012-12-04,2012-12-12,2,Ted Staffen
Ted Summers,Evaluation Manager,2012-06-11,2012-06-11,1,Ted Summers
Teddy Markey,Chief of Staff,2017-05-18,2021-03-23,9,Teddy Markey
Teeple Kate,"Manager, Strategic Priorities",2017-02-08,2017-02-08,1,Teeple Kate
Tenzin Chogkyi,"Regional Desk, West and North",2021-03-05,2022-05-11,3,"Tenzin Chogkyi, Tenzin Chogkyi "
Tenzin Kangzar,Assistant,2013-09-13,2013-09-13,1,Tenzin Kangzar
Tenzin Khangasar,"Director, Multiculturalism",2009-07-14,2009-07-14,1,Tenzin Khangasar
Tenzin Khangsar,Chief of Staff,2009-01-29,2012-09-20,27,"Tenzin Khangar, Tenzin Khangsar"
Tenzin Wangmo,Constituency Assistant,2017-05-29,2017-05-29,1,Tenzin Wangmo
Teo Owen,"Director, Strategic Integration",2020-09-14,2020-09-14,1,Teo Owen
Teodora Cosac,"Senior Advisor, Patent Policy Directorate",2016-04-12,2016-04-12,1,Teodora Cosac
Tera Winter,"Senior Policy Advisor, Innovation",2021-11-15,2022-03-10,3,Tera Winter
Tereasa Chudy,Economist,2019-01-09,2019-01-09,1,Tereasa Chudy
Terence Hubbard,Director General,2013-11-01,2025-04-16,346,"Terence Hubbard, Terrance Hubbard, Terrence  Hubbard, Terrence  Hubbard , Terrence Hubbard, terence hubbard"
Terence Nelligan,Research Officer,2010-08-19,2010-08-19,1,Terence Nelligan
Terence Scheltema,Senior Policy Advisor,2008-07-10,2023-08-17,25,Terence Scheltema
Terence Stechysin,Director,2022-04-04,2025-02-19,19,"Terence  Stechysin, Terence Stechysin, Terence Stechysin , terence  Stechysin"
Terence Young,Member of Parliament,2010-09-28,2015-06-25,171,"Terance Young, Terence H. Young, Terence Young, Terrance Young, Terrence Young, terrance young, terrence young"
Tererence Hubbard,Assistant Deputy Minister,2017-04-26,2017-04-26,1,Tererence Hubbard
Teresa Bach,Director,2017-01-30,2017-01-30,1,Teresa Bach
Teresa Crockett,Deputy Director,2021-11-30,2021-11-30,1,Teresa Crockett
Teresa D' Andrea,Assistant Deputy Minister,2024-12-17,2024-12-17,1,Teresa D' Andrea
Teresa D'andrea,Assistant Deputy Minister,2019-06-25,2025-02-26,18,"Teresa D'Andrea, Theresa D'Andrea, teresa d'andrea"
Teresa De Marco,Economist,2017-03-20,2023-03-23,5,Teresa De Marco
