CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Isabelle Bouchard,Policy Advisor,2009-09-10,2024-01-25,7,Isabelle Bouchard
Isabelle Bourassa,Parliamentary Assistant,2013-10-01,2013-10-01,1,Isabelle Bourassa
Isabelle Brault,"Chief, Employment and Education",2010-10-07,2024-06-21,4,Isabelle Brault
Isabelle Buchanan,"Special Assistant, Policy",2023-09-19,2025-05-27,122,"Isabelle  Buchanan, Isabelle  Buchanan , Isabelle Buchanan, Isabelle Buchanan "
Isabelle Buchannan,Senior Policy Advisor,2024-01-10,2024-08-02,3,"Isabelle Bucanan, Isabelle Buchannan"
Isabelle Charest,Member of Parliament,2021-05-21,2021-05-21,1,Isabelle  Charest
Isabelle Cholette,Acting Senior Program Analyst,2023-03-15,2023-03-15,1,Isabelle Cholette
Isabelle Courchesne,Policy Advisor,2024-11-22,2024-11-22,5,"Isabelle  Courchesne, Isabelle Courchesne"
Isabelle Daoust,Senior Policy Advisor,2017-05-15,2025-02-27,4,"Isabelle  Daoust, Isabelle Daoust"
Isabelle Depault,Senior Policy Analyst,2022-01-28,2023-10-18,2,Isabelle Depault
Isabelle Desjardins,Controls Development Engineer,2024-10-30,2024-10-30,1,Isabelle Desjardins
Isabelle Desmartis,"Chief Executive Officer | Assistant Deputy Minister, Science and Technology",2018-04-09,2022-06-28,9,"Isabelle Desmarrais, Isabelle Desmarti, Isabelle Desmartis"
Isabelle Doucet,Deputy Chief of Staff,2024-02-01,2024-02-01,1,Isabelle Doucet
Isabelle Genest,Advisor,2020-07-06,2020-07-06,1,Isabelle Genest
Isabelle Gervais,"Deputy Commissioner, Compliance",2022-08-30,2025-01-21,9,"Isabelle  Gervais , Isabelle Gervais, Isabelle Gervais "
Isabelle Gingras,Vice President,2016-06-08,2016-06-08,1,Isabelle Gingras
Isabelle Grenier,"Senior Advisor, Regional Affairs",2021-07-07,2024-03-20,35,"Isabelle Grenier, Isabelle Grenier "
Isabelle Hddon,President and CEO,2023-04-19,2023-04-19,1,Isabelle  Hddon 
Isabelle Hudon,Ambassador of Canada to France,2019-06-26,2022-11-04,11,"Isabelle  Hudon, Isabelle Hudon"
Isabelle Hurley,"Special Assistant, ATL Desk",2022-01-10,2025-05-30,306,"Isabelle  Hurley, Isabelle  Hurley , Isabelle Hurley, Isabelle Hurley "
Isabelle Isabelle,"Special Assistant, Policy",2024-02-21,2024-02-21,1,Isabelle Isabelle
Isabelle Jacob,Parliamentary Secretary,2016-07-29,2016-10-26,7,Isabelle Jacob
Isabelle Jacques,Assistant Deputy Minister,2021-09-16,2023-05-10,69,"Isabelle  Jacques, Isabelle  Jaques, Isabelle Jacque, Isabelle Jacques, Isabelle Jaques, Isabelle jacques"
Isabelle Julien,Director,2015-03-16,2023-04-25,3,"Isabelle  Julien, Isabelle Julien"
Isabelle Laberge,Senior Director,2018-06-29,2022-12-01,4,Isabelle Laberge
Isabelle Laliberte,Policy Advisor,2023-10-30,2025-01-23,40,"Isabell Laliberté, Isabelle  Laliberte, Isabelle  Laliberté, Isabelle  Laliberté , Isabelle Laliberte, Isabelle Laliberté, Isabelle Laliberté "
Isabelle Lapointe,"Director, Parliamentary Affairs",2020-05-21,2020-05-21,1,Isabelle Lapointe
Isabelle Latulippe,Director,2024-09-10,2024-09-10,1,Isabelle Latulippe
Isabelle Laurin,Policy Advisor,2023-05-12,2023-10-04,2,"Isabelle  Laurin, Isabelle Laurin"
Isabelle Mainville,"Advisor, Department",2016-03-22,2016-03-22,1,Isabelle Mainville
Isabelle Major,Program Officer,2008-09-19,2008-09-19,1,Isabelle Major
Isabelle Mcleod,Chief of Staff,2021-02-22,2021-02-22,1,Isabelle McLeod
Isabelle Michaud-germain,Senior Trade Policy Analyst,2023-12-12,2023-12-12,1,Isabelle Michaud-Germain
Isabelle Mondou,Deputy Minister,2020-07-29,2025-05-15,194,"Isabelle  Mondou, Isabelle  Mondou , Isabelle Mondou, Isabelle Mondou , Isabelle Mondu"
Isabelle Moo Sang,Policy Officer,2012-07-26,2012-07-26,1,Isabelle Moo Sang
Isabelle Morin,Member of Parliament,2011-09-02,2015-06-03,65,"Isabel Morin, Isabelle Morin"
Isabelle Nimick,Intern,2021-07-08,2021-07-08,1,Isabelle Nimick
Isabelle Ouellet,"Director, IM/IT Security",2018-05-28,2018-05-28,1,Isabelle Ouellet
Isabelle Paroulx,"Manager, External Relations",2024-07-31,2024-08-12,3,"Isabelle  Paroulx, Isabelle Proulx"
Isabelle Pilote,Section Head,2024-06-20,2024-06-20,1,Isabelle Pilote
Isabelle Pouliot-cotnoir,Senior Manager,2023-11-18,2023-11-18,1,Isabelle Pouliot-Cotnoir
Isabelle Poupart,"Director General, European Affairs",2023-02-20,2024-08-07,2,Isabelle Poupart
Isabelle Prolux,"Manager, External Relations",2024-12-12,2024-12-12,1,Isabelle Prolux
Isabelle Quintal,Chief of Staff and Senior Advisor,2012-06-29,2018-12-05,2,Isabelle Quintal
Isabelle Remillard,Senior Policy Analyst,2023-12-04,2023-12-18,2,"Isabelle Remillard, Isabelle Rémillard"
Isabelle Ringuet,Director,2022-01-07,2022-06-03,2,Isabelle Ringuet
Isabelle Roy,Senior Information and Communication Technology Specialist,2019-03-20,2019-03-20,1,Isabelle Roy
Isabelle Sabourin,Legislative Assistant,2013-03-21,2025-01-13,13,Isabelle Sabourin
Isabelle Schryer,Executive Assistant,2021-11-26,2022-02-17,6,Isabelle Schryer
Isabelle Skalski,Senior Policy Analyst,2022-06-16,2022-06-16,1,Isabelle Skalski
Isabelle Slight,Senior Policy Analyst,2023-05-04,2023-05-04,1,Isabelle Slight
Isabelle T. Landry,Senior Program Officer,2023-07-31,2025-02-17,7,"Isabelle Landry, Isabelle T. Landry"
Isabelle Tardif,Senior Regulatory Analyst,2024-05-29,2024-05-29,2,Isabelle Tardif
Isabelle Touchette,"Director, Health and Rights of Women, Adolescents and Children",2024-10-09,2024-10-09,1,Isabelle Touchette
Isabelle Tranpanier,"Director, National Air Services",2009-08-19,2009-08-19,1,Isabelle Tranpanier
Isabelle Tremblay,"Director, Astronauts, Life Science and Space Medicine",2023-02-23,2023-02-23,1,Isabelle Tremblay
Isabelle Turcotte,Senior Project Manager,2022-03-04,2025-05-29,45,"Isabelle Turcotte, isabelle turcotte"
Isabelle Valois,Ambassador to Uruguay,2017-05-30,2024-02-13,9,Isabelle Valois
Isabelle Verbisky,Manager,2024-06-06,2024-06-06,1,Isabelle Verbisky
Isabelle Wallace,Policy Analyst,2024-05-24,2024-05-24,1,Isabelle Wallace
Iseult L'heureux Hubert,Staffer to Member of Parliament,2024-04-29,2024-04-29,1,Iseult L'Heureux Hubert
Iseult L'heureux-hubert,Staffer,2018-09-27,2025-01-29,43," Iseult  L’Heureux-Hubert, Iseult  L'Heureux-Hubert, Iseult  L’Heureux-Hubert, Iseult Heureux Hubert, Iseult L'Heaureux-Hubert, Iseult L'Heureux-Hubert, Iseult L’Heureux-Hubert, Iseult l'Heureux-Hebert"
Ishwara Prematunga,Parliamentary Assistant,2023-07-18,2023-07-18,1,Ishwara Prematunga
Isis Bozzano-bae,Senior Policy Advisor,2024-02-06,2024-12-02,11,Isis Bozzano-Bae
Ismael Karidio,Investment Analyst,2021-09-16,2021-09-16,1,Ismael Karidio
Ismail Tasha,Director of Operations,2017-01-23,2019-01-30,2,Ismail Tasha
Ismar Fejzic,Senior Financial Management Advisor,2016-06-20,2016-06-20,1,Ismar Fejzic
Ismat Mccosham,Senior Policy Analyst,2025-04-01,2025-04-01,2,Ismat McCosham
Ismene Akiteretse,Parliamentary Assistant,2020-09-17,2020-09-17,1,Ismène Akiteretse
Ivan Bastasic,Director,2008-08-14,2008-08-14,1,Ivan Bastasic
Ivan Godin,Member of Parliament,2010-10-18,2010-10-18,1,Ivan Godin
Ivan Roberts,Ambassador,2013-03-26,2013-03-26,1,Ivan Roberts
Ivan Zinger,Correctional Investigator,2008-10-20,2016-11-24,2,Ivan Zinger
Ivana Kosarac,Manager,2021-01-18,2021-08-05,2,Ivana Kosarac
Ivana Ndikuriyo,Senior Director,2023-06-06,2023-06-06,1,Ivana Ndikuriyo
Ivanna Spasovska,Policy Advisor,2020-04-08,2020-09-01,2,Ivanna Spasovska
Iyad Dakka,Manager,2016-06-07,2021-06-23,2,Iyad Dakka
Iyad Kaghad,Policy Advisor,2019-05-14,2024-12-05,44,"Ilyad Kaghad, Iyad  Kaghad, Iyad Kaghad, Iyad kaghad"
Iyma Lamarche,Legislative Assistant,2021-12-17,2022-03-11,2,"Iyma Lamarche, Iyma Lamarche "
Izabel Czuzoj-shulman,Director of Policy,2016-09-08,2024-12-11,19,"Izabel Cruzoj-Shulman, Izabel Czuzoj-Shulman"
Izabel Hurley,Advisor,2024-10-07,2024-10-07,1,Izabel Hurley
Izak Weinstein,Policy Analyst,2023-07-21,2023-07-21,1,Izak Weinstein
Izzidine El-mufti,Parliamentary Affairs Advisor and Issues Manager,2023-11-17,2023-11-17,1,Izzidine El-Mufti
